split,class_name,leakage_safe_rows,retained_rows,excluded_rows,retention_rate
test,angry,958,864,94,0.9018789144050104
test,disgust,111,96,15,0.8648648648648649
test,fear,1024,942,82,0.919921875
test,happy,1774,1714,60,0.9661781285231116
test,neutral,1233,1193,40,0.967558799675588
test,sad,1247,1121,126,0.8989574979951884
test,surprise,831,803,28,0.9663056558363418
train,angry,3285,2975,310,0.9056316590563166
train,disgust,328,269,59,0.8201219512195121
train,fear,3375,3098,277,0.9179259259259259
train,happy,6083,5879,204,0.9664639158310044
train,neutral,4174,4056,118,0.971729755630091
train,sad,4052,3683,369,0.90893385982231
train,surprise,2449,2340,109,0.9554920375663536
val,angry,579,521,58,0.8998272884283247
val,disgust,57,53,4,0.9298245614035088
val,fear,595,546,49,0.9176470588235294
val,happy,1073,1036,37,0.9655172413793104
val,neutral,736,708,28,0.9619565217391305
val,sad,715,644,71,0.9006993006993007
val,surprise,432,419,13,0.9699074074074074
